seq_no,epoch,timestamp,ip,temp
208,1591461001,Sat Jun 6 09:30:01 PDT 2020,128.111.45.161,116.600000
209,1591461301,Sat Jun 6 09:35:01 PDT 2020,128.111.45.161,116.600000
210,1591461601,Sat Jun 6 09:40:01 PDT 2020,128.111.45.161,114.800000
211,1591461901,Sat Jun 6 09:45:01 PDT 2020,128.111.45.161,116.600000
212,1591462201,Sat Jun 6 09:50:01 PDT 2020,128.111.45.161,114.800000
213,1591462501,Sat Jun 6 09:55:01 PDT 2020,128.111.45.161,118.400000
214,1591462801,Sat Jun 6 10:00:01 PDT 2020,128.111.45.161,116.600000
215,1591463102,Sat Jun 6 10:05:02 PDT 2020,128.111.45.161,114.800000
216,1591463401,Sat Jun 6 10:10:01 PDT 2020,128.111.45.161,116.600000
217,1591463701,Sat Jun 6 10:15:01 PDT 2020,128.111.45.161,118.400000
218,1591464001,Sat Jun 6 10:20:01 PDT 2020,128.111.45.161,116.600000
219,1591464301,Sat Jun 6 10:25:01 PDT 2020,128.111.45.161,116.600000
220,1591464601,Sat Jun 6 10:30:01 PDT 2020,128.111.45.161,114.800000
221,1591464901,Sat Jun 6 10:35:01 PDT 2020,128.111.45.161,116.600000
222,1591465201,Sat Jun 6 10:40:01 PDT 2020,128.111.45.161,118.400000
223,1591465501,Sat Jun 6 10:45:01 PDT 2020,128.111.45.161,118.400000
224,1591465801,Sat Jun 6 10:50:01 PDT 2020,128.111.45.161,114.800000
225,1591466101,Sat Jun 6 10:55:01 PDT 2020,128.111.45.161,116.600000
226,1591466401,Sat Jun 6 11:00:01 PDT 2020,128.111.45.161,122.000000
227,1591466701,Sat Jun 6 11:05:01 PDT 2020,128.111.45.161,116.600000
228,1591467001,Sat Jun 6 11:10:01 PDT 2020,128.111.45.161,120.200000
229,1591467301,Sat Jun 6 11:15:01 PDT 2020,128.111.45.161,116.600000
230,1591467601,Sat Jun 6 11:20:01 PDT 2020,128.111.45.161,118.400000
231,1591467901,Sat Jun 6 11:25:01 PDT 2020,128.111.45.161,114.800000
232,1591468201,Sat Jun 6 11:30:01 PDT 2020,128.111.45.161,116.600000
